,url,2nd_type
586,politicsbreaking.com,
587,politicsinformation.com,
588,politicsinfotoday.com,
589,politicsintheusa.com,bias
590,politicsinusa.com,
591,politicsusanews.com,
592,politicususa.com,unreliable
593,pollhype.com,clickbait
594,powerlineblog.com,
595,powerpoliticians.com,
596,pravda.ru,rumor
597,pravdareport.com,rumor
599,president45donaldtrump.com,
600,presidentialvoting2016.com,bias
601,press24.us,
602,presstv.com,unreliable
603,presstv.ir,unreliable
604,prisonplanet.com,
605,prisonplanet.com,
606,prisonplanet.tv,
607,prntly.com,
608,proamericanews.com,
609,progressivestoday.com,
610,projectveritas.com,unreliable
611,proudcons.com,bias
612,proudemocrat.com,
613,PublicIntelligence.net,
614,qpolitical.com,clickbait
615,randpaulreview.com,
616,rawforbeauty.com,
617,rawstory.com,clickbait
618,rawws.com,
619,rbth.com,
620,react365.com,
622,readynutrition.com,conspiracy
624,realfarmacy.com,conspiracy
625,realnewsrightnow.com,satire
626,realplanetnews.com,
627,realprogress.online,
628,realtimepolitics.com,unreliable
629,redcountry.us,
630,redflagnews.com,conspiracy
631,RedIceCreations.com,
632,redrocktribune.com,
633,redstate.com,clickbait
634,redstatewatcher.com,clickbait
635,reductress.com,
636,regated.com,
637,religionlo.com,
638,religionmind.com,
639,remedydaily.com, 
640,rense.com,junksci
641,resistancereport.com,unreliable
642,responsibletechnology.org,
643,returnofkings.com,
644,revolutions2040.com,clickbait
645,rhotv.com,
646,rickwells.us,conspiracy
647,rightalert.com,unreliable
648,righton.com,
649,RightSideNews.com,
650,rightwingnews.com,unreliable
651,rilenews.com,satire
652,rinf.com,
653,rockcitytimes.com,
654,rogue-nation3.com,
655,ronpaulinstitute.org,
656,rumorjournal.com,
657,rumormillnews.com,junksci
658,ruptly.tv,
659,russia-direct.org,political
660,russia-insider.com,clickbait
661,satiratribune.com,
662,satirewire.com,
663,scrappleface.com,
664,secretsofthefed.com,junksci
665,sensationalisttimes.com,
666,sentinelblog.com,junksci
667,sgtreport.com,
668,shadowproof.com,
669,ShadowStats.com,
670,shareblue.com,political
671,sheepkillers.com,junksci
672,shiftfrequency.com,
673,shoebat.com,bias
674,shtfplan.com,
675,silentmajoritypatriots.com,
676,Silver-Coin-Investor. com,bias
677,SilverBearCafe.com,
678,SilverDoctors.com,bias
679,SilverStealers.net,
680,SJLendman.Blogspot.com,
681,skeptiko.com,junksci
682,smag31.com,unreliable
683,smartknowledgeu.com/blog,
684,socialeverythings.com,
685,solari.com/blog,
686,sonsoflibertyradio.com,bias
687,sott.net,
688,sourceplanet.net,
689,southfront.org,
690,southweb.org,
691,SovereignMan.com,
692,speciallifeentertainment.com,
693,speld.nl,
694,spinzon.com,
695,sportspickle.com,
696,sputniknews.com,state
697,SRSroccoReport.com,
698,statenation.co,
699,STAWealth.com,
700,SteveQuayle.com,
701,stneotscitizen.com,
702,stormcloudsgathering.com,
703,strategic-culture.org,
704,stuppid.com,
705,subjectpolitics.com,bias
706,success-street.com,clickbait
707,suggesthealthytips.com,
708,superstation95.com,
709,supremepatriot.com,bias
710,surenews.com,
711,surrealscoop.com,
712,SurvivalBlog.com,
713,SurvivalKnowHow.net,
714,survivopedia.com,
715,szandorblestman.com/index.php,
716,tap-news.com,
717,tdnewswire.com,
718,TDTalliance.com,
719,teaparty.org,unreliable
720,teapartyeconomist.com,
721,teapartytribune.com,
722,tellmenow.com,
723,TenthAmendmentCenter.com,
724,thatviralfeed.net,unreliable
725,the-insider.co,
726,the-newspapers.com,
727,theamericancause.org,
728,theamericanindependent.wordpress.com,bias
729,theamericanmirror.com,
730,theantimedia.org,bias
731,TheAuReport.com,
732,theautogear.com,
733,thebeaverton.com,
734,thebigriddle.com,
735,theblaze.com,clickbait
736,thebostontribune.com,
737,TheBRICSPost.com,
738,TheBrowser.com,
739,TheBurningPlatform.com,
740,thecarsmagazine.com,
741,thecivilian.co.nz,
742,thecommonsenseshow.com,conspiracy
743,theconservativetreehouse.com,
744,thecontroversialfiles.net,clickbait
745,TheCroweHouse.com,
746,thedailybeast.com,
747,thedailybell.com,
748,TheDailyCoin.org,
749,TheDailyCrux.com,
750,thedailymash.co.uk,
751,thedailysheeple.com,bias
752,thedailywtf.com,
753,thedemocratic.site,
754,theduran.com,
755,theearthchild.co.za,
756,theeconomiccollapseblog.com,bias
757,theeventchronicle.com,junksci
758,TheExtinctionProtocol.com,
759,thefederalistpapers.org,conspiracy
760,thefifthcolumnnews.com,
761,theforbiddenknowledge.com,junksci
762,thefreepatriot.org,bias
763,thefreethoughtproject.com,conspiracy
764,thegatewaypundit.com,conspiracy
765,thegoldandoilguy.com/articles,
766,thegoldwater.com,
767,thehardtimes.net,
768,theineptowl.com,
769,theinformedamerican.net,
770,theintercept.com,
771,theinternetpost.net,
772,thelastgreatstand.com,conspiracy
