,url,3rd_type
728,theamericanindependent.wordpress.com,
729,theamericanmirror.com,
730,theantimedia.org,conspiracy
731,TheAuReport.com,
732,theautogear.com,
733,thebeaverton.com,
734,thebigriddle.com,
735,theblaze.com,
736,thebostontribune.com,
737,TheBRICSPost.com,
738,TheBrowser.com,
739,TheBurningPlatform.com,
740,thecarsmagazine.com,
741,thecivilian.co.nz,
742,thecommonsenseshow.com,
743,theconservativetreehouse.com,
744,thecontroversialfiles.net, 
745,TheCroweHouse.com,
746,thedailybeast.com,
747,thedailybell.com,
748,TheDailyCoin.org,
749,TheDailyCrux.com,
750,thedailymash.co.uk,
751,thedailysheeple.com,
752,thedailywtf.com,
753,thedemocratic.site,
754,theduran.com,
755,theearthchild.co.za,
756,theeconomiccollapseblog.com,
757,theeventchronicle.com,clickbait
758,TheExtinctionProtocol.com,
759,thefederalistpapers.org, 
760,thefifthcolumnnews.com,
761,theforbiddenknowledge.com,
762,thefreepatriot.org,clickbait
763,thefreethoughtproject.com,clickbait
764,thegatewaypundit.com,unreliable
765,thegoldandoilguy.com/articles,
766,thegoldwater.com,
767,thehardtimes.net,
768,theineptowl.com,
769,theinformedamerican.net,
770,theintercept.com,
771,theinternetpost.net,
772,thelastgreatstand.com,bias
773,thelastlineofdefense.org,
774,thelibertybeacon.com,bias
775,thelibertymill.com,conspiracy
776,themadisonmisnomer.com,
777,themideastbeast.com,
778,themindunleashed.com,clickbait
779,themindunleashed.org,clickbait
780,themoralofthestory.us,
781,themuslimissue.wordpress.com,
782,thenet24h.com,
783,thenewamerican.com,
784,thenewinquiry.com,
785,thenewsdoctors.com,
786,TheNewsFile.com,
787,thenewsnerd.com,
788,thenewyorkevening.com,
789,theonion.com,
790,theopenscroll.blogspot.com,
791,theorganicprepper.ca,
792,TheOutsiderClub.com,
793,theoxymoron.co.uk,
794,thepeoplescube.com,
795,ThePeoplesVoice.net,
796,thephaser.com,
797,thepoke.co.uk,
798,thepoliticalcesspool.com,
799,thepoliticalinsider.com,unreliable
800,thepostemail.com,
801,theracketreport.com,
802,therealstrategy.com,hate
803,therebel.media,
